Title,Author,Price,Rating,Limited Stock,Discount,Genre,Number of Pages,Weight,ISBN,Language,Related Genres,Synopsis,URL
jpn520,Unassigned,Rs. 150,N/A,Only 1 item left in stock!,N/A,Foreign Languages,N/A,250g,b1258,Japanese,"Foreign Languages:, Foreign Languages:","A description of this book has not been provided by the author/publisher. However, jpn520 is available for purchase at Books Mandala.",https://booksmandala.com/books/jpn520-48242
Tragedie a l' Everest,Jon Krakauer,Rs. 400,N/A,Only 9 item left in stock!,N/A,Foreign Languages,N/A,250g,9782264051158,French,"Foreign Languages:, Foreign Languages:","Printemps 1996. Sur les pentes piégeuses du plus haut sommet de la planète, ils sont une poignée d'aventuriers en quête du défi ultime. Guides ou sherpas, alpinistes chevronnés ou néophytes, ils ont des motivations différentes, mais une seule règle : un pas après l'autre. Répartis en plusieurs expéditions, chacun progresse à son rythme de camp en camp. Mais lorsqu'une fenêtre météo favorable les pousse à tenter le même jour l'assaut final, un terrible drame se prépare. Des nuages apparus trop vite dans la vallée. Un embouteillage au sommet. Huit morts, dont deux guides parmi les plus réputés au monde. Envoyé spécial du magazine américain Outside, Jon Krakauer fait partie de ceux qui ont survécu. Il nous livre ici sa vérité sur l'effroyable tragédie.",https://booksmandala.com/books/tragedie-a-l-everest-47097
und wieder die liebe,Unassigned,Rs. 545,N/A,Only 1 item left in stock!,N/A,Foreign Languages,N/A,250g,b1299,German,"Foreign Languages:, Foreign Languages:","A description of this book has not been provided by the author/publisher. However, und wieder die liebe is available for purchase at Books Mandala.",https://booksmandala.com/books/und-wieder-die-liebe-48283
jpn540,Unassigned,Rs. 150,N/A,Only 1 item left in stock!,N/A,Foreign Languages,N/A,250g,b1253,Japanese,"Foreign Languages:, Foreign Languages:","A description of this book has not been provided by the author/publisher. However, jpn540 is available for purchase at Books Mandala.",https://booksmandala.com/books/jpn540-48246
jpn536,Unassigned,Rs. 150,N/A,Only 1 item left in stock!,N/A,Foreign Languages,N/A,250g,b1255,Japanese,"Foreign Languages:, Foreign Languages:","A description of this book has not been provided by the author/publisher. However, jpn536 is available for purchase at Books Mandala.",https://booksmandala.com/books/jpn536-48244
Marcelo,Unassigned,Rs. 250,N/A,Only 1 item left in stock!,N/A,Foreign Languages,N/A,250g,9789047702917,German,"Foreign Languages:, Foreign Languages:","A description of this book has not been provided by the author/publisher. However, Marcelo is available for purchase at Books Mandala.",https://booksmandala.com/books/marcelo-23211
Das Siegel des Schweigens,Richard North Patterson,Rs. 350,N/A,Only 1 item left in stock!,N/A,Foreign Languages,N/A,250g,9783442424375,German,"Foreign Languages:, Foreign Languages:","A description of this book has not been provided by the author/publisher. However, Das Siegel des Schweigens is available for purchase at Books Mandala.",https://booksmandala.com/books/das-siegel-des-schweigens-23215
wir mussen den kindern mehr deutsch lernen,Unassigned,Rs. 380,N/A,Only 1 item left in stock!,N/A,Foreign Languages,N/A,250g,9783499620799,German,"Foreign Languages:, Foreign Languages:","A description of this book has not been provided by the author/publisher. However, wir mussen den kindern mehr deutsch lernen is available for purchase at Books Mandala.",https://booksmandala.com/books/wir-mussen-den-kindern-mehr-deutsch-lernen-22840
jpn477,Unassigned,Rs. 75,N/A,Only 1 item left in stock!,N/A,Foreign Languages,N/A,250g,b1274,Japanese,"Foreign Languages:, Foreign Languages:","A description of this book has not been provided by the author/publisher. However, jpn477 is available for purchase at Books Mandala.",https://booksmandala.com/books/jpn477-48229
Lilian faschinger paarweise,Unassigned,Rs. 350,N/A,Only 2 item left in stock!,N/A,Foreign Languages,N/A,250g,b1623,German,"Foreign Languages:, Foreign Languages:","A description of this book has not been provided by the author/publisher. However, Lilian faschinger paarweise is available for purchase at Books Mandala.",https://booksmandala.com/books/lilian-faschinger-paarweise-23137
Jacques Lanzmann Le fils l'Himalaya,Jacques Lanzmann,Rs. 350,N/A,N/A,N/A,Foreign Languages,185 Pages,250g,9782253145301,French,"Foreign Languages:, Foreign Languages:","A description of this book has not been provided by the author/publisher. However, Jacques Lanzmann Le fils l'Himalaya is available for purchase at Books Mandala.",https://booksmandala.com/books/jacques-lanzmann-le-fils-lhimalaya-47110
molaner der schreides toten kampfers,Unassigned,Rs. 260,N/A,Only 1 item left in stock!,N/A,Foreign Languages,N/A,250g,9783426028025,German,"Foreign Languages:, Foreign Languages:","A description of this book has not been provided by the author/publisher. However, molaner der schreides toten kampfers is available for purchase at Books Mandala.",https://booksmandala.com/books/molaner-der-schreides-toten-kampfers-23063
jpn535,Unassigned,Rs. 100,N/A,Only 1 item left in stock!,N/A,Foreign Languages,N/A,250g,b1565,English,"Foreign Languages:, Foreign Languages:","A description of this book has not been provided by the author/publisher. However, jpn535 is available for purchase at Books Mandala.",https://booksmandala.com/books/jpn535-48317
Practice Test For IELTS 1,Cambridge University Press,Rs. 650,N/A,N/A,N/A,Foreign Languages,156 Pages,315g,BM3113C72C00B8,English,"Learning and Reference:, Learning and Reference:","A description of this book has not been provided by the author/publisher. However, Practice Test For IELTS 1 is available for purchase at Books Mandala.",https://booksmandala.com/books/practice-test-for-ielts-1-27639
Marugot Elementary 2 (A2) workbook,Communicative Language Competences,Rs. 560,N/A,Only 6 item left in stock!,N/A,Foreign Languages,184 Pages,590g,9789388141406,Japanese,"Learning and Reference:, Foreign Languages:, Learning and Reference:, Foreign Languages:","A description of this book has not been provided by the author/publisher. However, Marugot Elementary 2 (A2) workbook is available for purchase at Books Mandala.",https://booksmandala.com/books/marugot-elementary-2-a2-workbook-40506
Moral Cultivation of Kings,Mipham Ghyatso,Rs. 800,N/A,Only 2 item left in stock!,N/A,Foreign Languages,345 Pages,535g,9789937914185,English,"Foreign Languages:, Foreign Languages:","A description of this book has not been provided by the author/publisher. However, Moral Cultivation of Kings is available for purchase at Books Mandala.",https://booksmandala.com/books/moral-cultivation-of-kings-35352
jpn 209,Unassigned,Rs. 60,N/A,Only 1 item left in stock!,N/A,Foreign Languages,N/A,250g,b1262,Japanese,"Foreign Languages:, Foreign Languages:","A description of this book has not been provided by the author/publisher. However, jpn 209 is available for purchase at Books Mandala.",https://booksmandala.com/books/jpn-209-48133
germ431,Unassigned,Rs. 200,N/A,Only 1 item left in stock!,N/A,Foreign Languages,N/A,250g,9783404201952,German,"Foreign Languages:, Foreign Languages:","A description of this book has not been provided by the author/publisher. However, germ431 is available for purchase at Books Mandala.",https://booksmandala.com/books/germ431-23150
Puissance de la compassion,Dalai Lama,Rs. 350,N/A,N/A,N/A,Foreign Languages,189 Pages,250g,9782266074841,French,"Foreign Languages:, Foreign Languages:",Le chef spirituel du Tibet donne à l'homme un outil d'évolution en lui montrant comment vivre cette promesse de réconciliation avec autrui et avec lui-même.,https://booksmandala.com/books/puissance-de-la-compassion-47108
onetti: Das kurze leben,Unassigned,Rs. 350,N/A,Only 1 item left in stock!,N/A,Foreign Languages,N/A,250g,b1599,English,"Foreign Languages:, Foreign Languages:","A description of this book has not been provided by the author/publisher. However, onetti: Das kurze leben is available for purchase at Books Mandala.",https://booksmandala.com/books/onetti-das-kurze-leben-48320
