Title,Author,Price,Rating,Genre,Number of Pages,Weight,ISBN,Language,Related Genres,URL
"Essential Classics: 20,000 Leagues Under the Sea",Pauline Francis,Rs. 280,N/A,Fiction And Literature,56 Pages,95g,9789352755820,English,"Fiction and Literature:, Kids and Teens:, Fiction and Literature:, Kids and Teens:",https://booksmandala.com/books/essential-classics-20000-leagues-under-the-sea-4685
The Horse Dancer,Jojo Moyes,Rs. 638,N/A,Fiction And Literature,496 Pages,425g,9780143130628,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/the-horse-dancer-29126
The Heir,Johanna Lindsey,Rs. 413,N/A,Fiction And Literature,407 Pages,225g,9780380793341,English,"Fiction and Literature:, History, Biography, and Social Science:, Fiction and Literature:, History, Biography, and Social Science:",https://booksmandala.com/books/the-heir-35219
Hell and Back,Tim Parks,Rs. 450,N/A,Fiction And Literature,341 Pages,260g,9780099274858,English,"Learning and Reference:, Fiction and Literature:, Learning and Reference:, Fiction and Literature:",https://booksmandala.com/books/hell-and-back-23477
Chasing Evil,Adam Blade,Rs. 560,N/A,Fiction And Literature,212 Pages,195g,9781408307489,English,"Fiction and Literature:, Kids and Teens:, Fiction and Literature:, Kids and Teens:",https://booksmandala.com/books/chasing-evil-23770
The Xmas Factor,Annie Sanders,Rs. 250,N/A,Fiction And Literature,310 Pages,220g,9780752881775,English,"Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/the-xmas-factor-9469
The Caller,Alex Barclay,Rs. 360,N/A,Fiction And Literature,424 Pages,240g,9780007195343,English,"Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/the-caller-26955
The october horse,Colleen Mc Cullough,Rs. 414,N/A,Fiction And Literature,1108 Pages,535g,9780743474382,English,"Fiction and Literature:, History, Biography, and Social Science:, Fiction and Literature:, History, Biography, and Social Science:",https://booksmandala.com/books/the-october-horse-24617
germ531,Unassigned,Rs. 350,N/A,Foreign Languages,N/A,250g,b1636,German,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/germ531-23203
germ430,Unassigned,Rs. 50,N/A,Foreign Languages,N/A,250g,b1655,German,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/germ430-23149
jpn 219,Unassigned,Rs. 250,N/A,Foreign Languages,N/A,250g,b1351,Japanese,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/jpn-219-48138
jpn535,Unassigned,Rs. 100,N/A,Foreign Languages,N/A,250g,b1565,English,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/jpn535-48317
jpn536,Unassigned,Rs. 150,N/A,Foreign Languages,N/A,250g,b1255,Japanese,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/jpn536-48244
Le livre du bouddha,Eva Rudy Jansen,Rs. 993,N/A,Foreign Languages,115 Pages,210g,9789080059498,French,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/le-livre-du-bouddha-23596
jpn540,Unassigned,Rs. 150,N/A,Foreign Languages,N/A,250g,b1253,Japanese,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/jpn540-48246
De Dalai lama,Unassigned,Rs. 550,N/A,Foreign Languages,N/A,250g,9789041700766,French,"Religion:, Foreign Languages:, Religion:, Foreign Languages:",https://booksmandala.com/books/de-dalai-lama-23194
History of Tea Drinking,Unassigned,Rs. 160,N/A,Foreign Languages,110 Pages,140g,9789937916967,English,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/history-of-tea-drinking-35346
jpn 224,Unassigned,Rs. 85,N/A,Foreign Languages,N/A,250g,b1345,Japanese,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/jpn-224-48139
wir hatten die wahl,Unassigned,Rs. 456,N/A,Foreign Languages,N/A,250g,9783499621352,German,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/wir-hatten-die-wahl-22828
Hypnose,Unassigned,Rs. 750,N/A,Foreign Languages,N/A,250g,9783499607820,German,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/hypnose-23364
Marcelo,Unassigned,Rs. 250,N/A,Foreign Languages,N/A,250g,9789047702917,German,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/marcelo-23211
Das Siegel des Schweigens,Richard North Patterson,Rs. 350,N/A,Foreign Languages,N/A,250g,9783442424375,German,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/das-siegel-des-schweigens-23215
No Water Cleaner than Tears,Saul Thompson,Rs. 816,N/A,Foreign Languages,165 Pages,205g,9787500151500,English,"Fiction and Literature:, Foreign Languages:, Fiction and Literature:, Foreign Languages:",https://booksmandala.com/books/no-water-cleaner-than-tears-35354
Une Princesse Se Souvient,Gayatri Devi,Rs. 792,N/A,Foreign Languages,402 Pages,600g,9788172341350,French,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/une-princesse-se-souvient-6046
De Quincunx,Charles Palliser and ,Rs. 250,N/A,Foreign Languages,N/A,250g,9789057134067,German,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/de-quincunx-7158
Pictorial Biography of Araniko,Unassigned,Rs. 400,N/A,Foreign Languages,172 Pages,185g,9789937914161,English,"History, Biography, and Social Science:, Foreign Languages:, History, Biography, and Social Science:, Foreign Languages:",https://booksmandala.com/books/pictorial-biography-of-araniko-35345
Eremit krebens,Unassigned,Rs. 250,N/A,Foreign Languages,N/A,250g,9788763810012,German,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/eremit-krebens-23223
The Greatest Russian Short Stories,Embassy Books,Rs. 632,N/A,Foreign Languages,296 Pages,378g,9789392217197,English,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/the-greatest-russian-short-stories-41610
jpn542,Unassigned,Rs. 850,N/A,Foreign Languages,123 Pages,245g,9787508516608,English,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/jpn542-48329
jpn537,Unassigned,Rs. 200,N/A,Foreign Languages,N/A,250g,b1564,English,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/jpn537-48318
margaret at wood,Unassigned,Rs. 250,N/A,Foreign Languages,N/A,250g,9789035113251,German,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/margaret-at-wood-23092
klangschalen,Unassigned,Rs. 1000,N/A,Foreign Languages,N/A,250g,9789074597579,German,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/klangschalen-23059
Dolores,Unassigned,Rs. 300,N/A,Foreign Languages,N/A,250g,9783453134546,German,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/dolores-23213
Japan reisverhalen,Unassigned,Rs. 400,N/A,Foreign Languages,N/A,250g,9789046700990,German,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/japan-reisverhalen-22921
Iconogrphie de l'gindouisme,Eva Rudy Jansen,Rs. 1000,N/A,Foreign Languages,150 Pages,340g,9789074597180,French,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/iconogrphie-de-lgindouisme-48661
The Story of Change,Wang Jiayin and ,Rs. 400,N/A,Foreign Languages,133 Pages,210g,9789937916943,English,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/the-story-of-change-35364
jpn539,Unassigned,Rs. 150,N/A,Foreign Languages,N/A,250g,b1252,Japanese,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/jpn539-48245
jpn 454,Unassigned,Rs. 110,N/A,Foreign Languages,N/A,250g,1910197006800,Japanese,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/jpn-454-48238
Moral Cultivation of Kings,Mipham Ghyatso,Rs. 800,N/A,Foreign Languages,345 Pages,535g,9789937914185,English,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/moral-cultivation-of-kings-35352
The Pathway to Language,Lobsang Chanrab,Rs. 300,N/A,Foreign Languages,139 Pages,175g,9789937916905,English,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/the-pathway-to-language-35348
jpn520,Unassigned,Rs. 150,N/A,Foreign Languages,N/A,250g,b1258,Japanese,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/jpn520-48242
jpn534,Unassigned,Rs. 110,N/A,Foreign Languages,N/A,250g,b1566,English,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/jpn534-48316
TIBET EN EXIL,Raghu Rai,Rs. 1950,N/A,Foreign Languages,135 Pages,1680g,9782070721078,English,"Arts and Photography:, Foreign Languages:, Arts and Photography:, Foreign Languages:",https://booksmandala.com/books/tibet-en-exil-28343
jpn532,Unassigned,Rs. 150,N/A,Foreign Languages,N/A,250g,b1256,Japanese,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/jpn532-48243
The New Nelson Japanese-English Character Dictionary,John H. Haig and ,Rs. 3000,N/A,Foreign Languages,1616 Pages,2000g,9780804820363,English,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/the-new-nelson-japanese-english-character-dictionary-43703
hoher als everest,Unassigned,Rs. 1425,N/A,Foreign Languages,N/A,250g,9783778771884,German,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/hoher-als-everest-23207
Nepal Mustang Lubrak Dogyab,Unassigned,Rs. 1750,N/A,Foreign Languages,128 Pages,525g,9789937649711,French,"Arts and Photography:, Foreign Languages:, Arts and Photography:, Foreign Languages:",https://booksmandala.com/books/nepal-mustang-lubrak-dogyab-27351
Japan 3,Unassigned,Rs. 200,N/A,Foreign Languages,N/A,250g,b653,Japanese,"Foreign Languages:, Foreign Languages:",https://booksmandala.com/books/japan-3-48019
Virgin Earth,Philippa Gregory,Rs. 918,N/A,History Biography And Social Science,568 Pages,420g,9780007228485,English,"Fiction and Literature:, Fiction and Literature:, History, Biography, and Social Science:, Fiction and Literature:, Fiction and Literature:, History, Biography, and Social Science:",https://booksmandala.com/books/virgin-earth-795
The Lighthouse Stevensons,Bella Bathurst,Rs. 472,N/A,History Biography And Social Science,284 Pages,250g,9780007241705,English,"Arts and Photography:, History, Biography, and Social Science:, History, Biography, and Social Science:, Arts and Photography:, History, Biography, and Social Science:, History, Biography, and Social Science:",https://booksmandala.com/books/the-lighthouse-stevensons-37528
What Are We Doing Here?,Marilynne Robinson,Rs. 958,N/A,History Biography And Social Science,336 Pages,285g,9780349010441,English,"History, Biography, and Social Science:, Spirituality and Philosophy:, History, Biography, and Social Science:, History, Biography, and Social Science:, Spirituality and Philosophy:, History, Biography, and Social Science:",https://booksmandala.com/books/what-are-we-doing-here-31270
Full Tilt Ireland to India with a bicycle,Dervla Murphy,Rs. 720,N/A,History Biography And Social Science,235 Pages,240g,9789387693166,English,"History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:",https://booksmandala.com/books/full-tilt-ireland-to-india-with-a-bicycle-29057
Giant George,Dave Nasser,Rs. 250,N/A,History Biography And Social Science,272 Pages,167g,9781471127007,English,"History, Biography, and Social Science:, Nature:, History, Biography, and Social Science:, Nature:",https://booksmandala.com/books/giant-george-19283
Is There Still Sex in the City?,Candace Bushnell,Rs. 958,N/A,History Biography And Social Science,320 Pages,260g,9781408711781,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/is-there-still-sex-in-the-city-31962
Howard Stern Comes Again,Howard Stern,Rs. 1478,N/A,History Biography And Social Science,560 Pages,1150g,9781471186523,English,"History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:",https://booksmandala.com/books/howard-stern-comes-again-31253
The Four Tendencies,Gretchen Rubin,Rs. 638,N/A,History Biography And Social Science,258 Pages,210g,9781473676442,English,"Business and Investing:, Self Improvement and Relationships:, Self Improvement and Relationships:, Business and Investing:, Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/the-four-tendencies-29117
the return of the master,Robert Skidelsky,Rs. 880,N/A,History Biography And Social Science,213 Pages,390g,9781846142581,English,"Business and Investing:, Self Improvement and Relationships:, History, Biography, and Social Science:, Business and Investing:, Self Improvement and Relationships:, History, Biography, and Social Science:",https://booksmandala.com/books/the-return-of-the-master-45280
"Greetings, carbon-based bipeds!",Arthur C. Clarke,Rs. 800,N/A,History Biography And Social Science,555 Pages,400g,9780006483694,English,"History, Biography, and Social Science:, Learning and Reference:, History, Biography, and Social Science:, Learning and Reference:",https://booksmandala.com/books/greetings-carbon-based-bipeds-5566
Far from the Madding Crowd,Thomas Hardy,Rs. 2078,N/A,History Biography And Social Science,480 Pages,550g,9780679405764,English,"Fiction and Literature:, History, Biography, and Social Science:, Fiction and Literature:, Fiction and Literature:, History, Biography, and Social Science:, Fiction and Literature:",https://booksmandala.com/books/far-from-the-madding-crowd-21681
